time,delta,size,class,pre_z,post_z,driver,controls_moved,lag_h
05-04 14:05,-5.0,trim,reactive,10.0,10.0,runner_temp_cr_taphole,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",7.1
05-06 06:39,5.0,trim,reactive,7.5,3.1,hot_blast_press,-,4.4
05-08 04:13,5.0,trim,reactive,6.4,6.8,co_pct,oxygen_flow,3.7
05-08 16:26,-5.0,trim,reactive,6.8,4.0,co_pct,"hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",6.9
05-09 03:42,5.0,trim,reactive,4.0,8.9,co_pct,"coal_rate_actual_value,oxygen_flow",6.2
05-09 22:26,-3.0,trim,reactive,10.0,2.8,body_raft,-,3.4
05-10 10:08,-2.0,trim,reactive,3.7,2.7,runner_temp_cr_taphole,hot_blast_temp,2.9
05-10 13:47,5.0,trim,reactive,3.7,2.4,runner_temp_cr_taphole,hot_blast_temp,6.5
05-10 23:08,5.0,trim,coordinated,2.4,10.0,co2_pct,coal_rate_actual_value,
05-11 02:23,5.0,trim,reactive,10.0,3.0,body_raft,coal_rate_actual_value,1.9
05-11 07:51,-5.0,trim,reactive,10.0,2.8,body_raft,"coal_rate_actual_value,hot_blast_vol_nm3h",7.4
05-13 00:22,5.0,trim,reactive,6.7,3.0,top_press_avg,-,4.1
05-13 08:27,-5.0,trim,coordinated,3.0,6.5,h2_pct,hot_blast_temp,
05-13 12:13,5.0,trim,reactive,6.5,10.0,body_dp_bottom,"hot_blast_temp,hot_blast_vol_nm3h",2.0
05-13 16:30,5.0,trim,reactive,6.5,10.0,body_dp_bottom,"coal_rate_actual_value,hot_blast_temp",6.3
05-16 07:52,-30.0,large,reactive,10.0,10.0,runner_temp_pci_taphole,-,7.9
05-17 13:30,-5.0,trim,reactive,10.0,7.9,runner_temp_pci_taphole,-,7.8
05-17 19:25,-5.0,trim,reactive,7.9,3.4,runner_temp_cr_skimmer,-,3.7
05-18 00:05,-5.0,trim,reactive,7.4,4.0,runner_temp_cr_skimmer,-,7.8
05-18 04:17,-5.0,trim,anticipatory?,2.7,10.0,runner_temp_cr_skimmer,-,
05-18 21:18,-5.0,trim,reactive,4.1,2.1,top_press_avg,-,7.8
05-19 15:40,-5.0,trim,anticipatory?,2.0,10.0,runner_temp_cr_skimmer,-,
05-20 11:32,-5.0,trim,anticipatory?,2.7,10.0,top_press_avg,-,
05-20 21:46,-2.0,trim,reactive,10.0,2.4,body_raft,-,7.8
05-20 22:41,-1.0,trim,unexplained,2.6,2.5,charges_per_hour,-,
05-21 03:38,5.0,trim,anticipatory?,2.4,3.3,runner_temp_cr_taphole,-,
05-21 16:48,-3.0,trim,reactive,3.3,3.9,runner_temp_cr_skimmer,-,6.6
05-22 15:06,4.0,trim,reactive,3.4,10.0,runner_temp_cr_skimmer,-,4.9
05-22 16:28,-4.0,trim,reactive,3.4,10.0,runner_temp_cr_skimmer,coal_rate_actual_value,6.2
05-22 18:57,-2.0,trim,reactive,10.0,4.0,hm_per_charge,-,2.5
05-24 03:37,5.0,trim,reactive,10.0,3.6,top_press_avg,"hot_blast_temp,hot_blast_vol_nm3h",7.9
05-24 12:49,-5.0,trim,reactive,3.6,10.0,tuyere_velocity,hot_blast_temp,7.8
05-24 18:22,5.0,trim,reactive,10.0,6.4,h2_pct,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",1.1
05-24 21:15,5.0,trim,reactive,10.0,5.4,h2_pct,"hot_blast_temp,oxygen_flow",4.0
05-25 08:37,5.0,trim,reactive,6.0,5.7,hm_per_charge,coal_rate_actual_value,1.6
05-25 12:29,-5.0,trim,reactive,6.0,5.4,hm_per_charge,hot_blast_temp,5.5
05-26 12:00,-10.0,trim,anticipatory?,0.0,4.4,-,-,
05-26 14:07,3.0,trim,reactive,4.4,4.4,body_dp_top,coal_rate_actual_value,2.1
05-27 09:30,-105.0,large,reactive,4.2,4.3,body_dp_top,"coal_rate_actual_value,hot_blast_temp",2.0
05-27 09:52,105.0,large,reactive,4.2,4.3,body_dp_top,hot_blast_temp,2.4
05-28 06:13,5.0,trim,coordinated,2.8,2.8,body_raft,coal_rate_actual_value,
05-30 12:15,5.0,trim,reactive,3.3,3.1,top_press_avg,-,3.5
05-30 22:12,5.0,trim,anticipatory?,3.1,3.5,body_etaco,-,
05-31 03:10,5.0,trim,reactive,3.5,2.8,top_temp_avg,coal_rate_actual_value,2.7
06-01 09:10,-5.0,trim,reactive,3.5,4.1,body_dp_bottom,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h",6.4
06-01 14:00,-5.0,trim,reactive,3.6,3.0,body_dp_bottom,-,3.0
06-02 10:40,-3.0,trim,reactive,10.0,4.2,body_raft,-,7.2
