input,effect,group,peak_lag_h,peak_r,r_at_0,r_at_4,r_at_7,basis
coal_rate_actual_value,top_temp_avg,gas,1,0.05586863423778571,0.030618908450520392,0.006260246714097719,-0.0009251484935919937,levels
coal_rate_actual_value,body_raft,thermal,0,-0.5450399556437578,-0.5450399556437578,-0.3720282962543434,-0.3115899477813955,levels
coal_rate_actual_value,runner_temp_cr_taphole,thermal,4,0.06344040351373122,0.05668473276064114,0.06344040351373122,0.05144648675123492,levels
coal_rate_actual_value,runner_temp_pci_taphole,thermal,13,0.19403783749796202,0.10998446462566545,0.1392477554817366,0.1693382415214989,levels
coal_rate_actual_value,body_dp_total,aero,0,0.5072083602403052,0.5072083602403052,0.3948390233409502,0.3197883189118945,levels
coal_rate_actual_value,body_perm,aero,3,-0.28149674981793293,-0.2578683220795072,-0.26857532334830664,-0.23276139107134503,levels
coal_rate_actual_value,top_press_avg,aero,0,0.44668888564925474,0.44668888564925474,0.3085395024489132,0.24043837286053346,levels
charges_per_hour,body_etaco,gas,0,0.16924015232406409,0.16924015232406409,0.08951814488448354,0.06371984013619446,levels
charges_per_hour,co_pct,gas,0,0.09544304737557827,0.09544304737557827,0.03282727588665786,0.03345909703069083,levels
charges_per_hour,co2_pct,gas,0,0.2635993035391916,0.2635993035391916,0.13683454890175173,0.0965557956428391,levels
charges_per_hour,h2_pct,gas,1,0.14214084704254878,0.11726483173250467,0.13531127423233005,0.10025393601446722,levels
charges_per_hour,top_temp_avg,gas,0,-0.14966636381242365,-0.14966636381242365,-0.06713942209870753,-0.05167227948601069,levels
charges_per_hour,body_raft,thermal,4,-0.10989715322619754,-0.027218290289969502,-0.10989715322619754,-0.07238488545456052,levels
charges_per_hour,runner_temp_cr_taphole,thermal,24,0.08656723109702018,0.05467599023707195,0.05118604583929638,0.05902772515083348,levels
charges_per_hour,runner_temp_pci_taphole,thermal,6,-0.02585768441648988,-0.009493050748048676,-0.017690694773362842,-0.024559110124768403,levels
charges_per_hour,body_dp_total,aero,0,0.4592459023187424,0.4592459023187424,0.3015730231042139,0.2846340006064751,levels
charges_per_hour,body_perm,aero,24,-0.15242513709164138,0.022500571220196264,-0.08189151717777594,-0.09344618940518595,levels
charges_per_hour,top_press_avg,aero,0,0.3239969513918013,0.3239969513918013,0.10960182083176942,0.08480951887073498,levels
PLACEBO_input,body_etaco,gas,21,-0.05871273513353813,-0.037998131465760525,-0.02534441636373876,-0.019070461812015795,levels
PLACEBO_input,co_pct,gas,11,0.02886078305931843,-0.00139199403923198,0.0176350037398636,0.02761250159036513,levels
PLACEBO_input,co2_pct,gas,21,-0.05600700775230338,-0.03534055128804442,-0.021244798188757498,-0.02218336616232629,levels
PLACEBO_input,h2_pct,gas,24,-0.033693100263316296,-0.02277815596785717,-0.004816147173524047,-0.010208493400399771,levels
PLACEBO_input,top_temp_avg,gas,7,0.041051888630256224,0.0021785778991440237,0.011521559695079635,0.041051888630256224,levels
PLACEBO_input,body_raft,thermal,8,0.048325058458694455,0.022863065610741144,0.0021100469801807785,0.016955056129699934,levels
PLACEBO_input,runner_temp_cr_taphole,thermal,20,-0.03673513346708165,-0.011478973445950913,-0.016809101500811035,-0.01985408422632264,levels
PLACEBO_input,runner_temp_pci_taphole,thermal,23,-0.04043254983849232,-0.03131073275533844,-0.022377477292141276,-0.020724814886620483,levels
PLACEBO_input,body_dp_total,aero,16,-0.05777145041535904,-0.04130947165621667,-0.04785308946908933,-0.03542477341458022,levels
PLACEBO_input,body_perm,aero,21,0.05699303351130616,-0.010660966765799364,0.001820861331947974,-0.004902802461873588,levels
PLACEBO_input,top_press_avg,aero,0,-0.03477816302959152,-0.03477816302959152,-0.03290595518957657,-0.026221257195151056,levels
hot_blast_temp,body_etaco,gas,1,0.03662368225285153,-0.01487155201180641,0.02416009096617704,-0.012410926476248045,differenced
hot_blast_temp,co_pct,gas,0,0.11163885673855838,0.11163885673855838,-0.00632090872463948,-0.01045874622240583,differenced
hot_blast_temp,co2_pct,gas,0,0.05496372678150605,0.05496372678150605,0.009236414902330433,-0.016627834028391058,differenced
hot_blast_temp,h2_pct,gas,0,0.1584350869097918,0.1584350869097918,-0.018711095648208508,-0.01976924134050435,differenced
hot_blast_temp,top_temp_avg,gas,0,-0.28844025126025996,-0.28844025126025996,-0.004893988743303291,-0.03202101669837141,differenced
hot_blast_temp,body_raft,thermal,0,0.2388921850015959,0.2388921850015959,-0.00027216284487219266,0.026096047549595415,differenced
hot_blast_temp,runner_temp_cr_taphole,thermal,6,0.035059631581753715,0.027923954181880137,-0.006183684208386748,0.013035845589892483,differenced
hot_blast_temp,runner_temp_pci_taphole,thermal,0,-0.08667901999267022,-0.08667901999267022,-0.022226862981968076,-0.012439743451455038,differenced
hot_blast_temp,body_dp_total,aero,0,0.07355563801983216,0.07355563801983216,-0.0033571007787939677,-0.016579679608016307,differenced
hot_blast_temp,body_perm,aero,0,0.16863842780443739,0.16863842780443739,0.01307335300290099,0.02401585926077869,differenced
hot_blast_temp,top_press_avg,aero,0,0.1763961665982542,0.1763961665982542,-0.005381468638920111,-0.00315259685453643,differenced
hot_blast_vol_nm3h,body_etaco,gas,1,0.061668042160350545,-0.05181514640918574,-0.007552554638455201,0.00633145857461723,differenced
hot_blast_vol_nm3h,co_pct,gas,0,0.23380171568143573,0.23380171568143573,0.03322146421929948,0.0012010306114725742,differenced
hot_blast_vol_nm3h,co2_pct,gas,1,0.1726362933057321,0.08016869947303565,0.009147396233957567,-0.00378000737260162,differenced
hot_blast_vol_nm3h,h2_pct,gas,0,0.13159490540172028,0.13159490540172028,0.034146864050690194,-0.011582823684315638,differenced
hot_blast_vol_nm3h,top_temp_avg,gas,0,-0.12139581281931967,-0.12139581281931967,0.003340474204636491,-0.02181884610092389,differenced
hot_blast_vol_nm3h,body_raft,thermal,0,0.10567748935570559,0.10567748935570559,-0.007766908640760821,-0.009288853450806272,differenced
hot_blast_vol_nm3h,runner_temp_cr_taphole,thermal,14,0.033997975521982034,-0.007122135376881811,-0.01922892860108213,-0.013765269227069263,differenced
hot_blast_vol_nm3h,runner_temp_pci_taphole,thermal,0,-0.04145542017748443,-0.04145542017748443,-0.028686756409124794,0.01775417392039124,differenced
hot_blast_vol_nm3h,body_dp_total,aero,0,0.8053294138056193,0.8053294138056193,-0.04775222880035172,0.03907539138760351,differenced
hot_blast_vol_nm3h,body_perm,aero,0,0.46616795021670904,0.46616795021670904,0.008445909864574119,-0.003547859096792493,differenced
hot_blast_vol_nm3h,top_press_avg,aero,0,0.875808298698695,0.875808298698695,-0.02665923731678816,0.013683691213632108,differenced
oxygen_flow,body_etaco,gas,0,-0.048696408711900105,-0.048696408711900105,0.01919395325064202,-0.010950621335272795,differenced
oxygen_flow,co_pct,gas,0,0.3569875395876763,0.3569875395876763,-0.02884962068953646,-0.007836390247105742,differenced
oxygen_flow,co2_pct,gas,0,0.19275092227131074,0.19275092227131074,0.019200836131657902,-0.030719537433839476,differenced
oxygen_flow,h2_pct,gas,0,0.3995297285129638,0.3995297285129638,0.004587152218573898,-0.00718825753938577,differenced
oxygen_flow,top_temp_avg,gas,1,0.08415940982357589,-0.03870788286511963,-0.03252172583675725,0.005140987422730206,differenced
oxygen_flow,body_raft,thermal,5,-0.059011988330455886,0.05500861417469148,-0.016480744586694577,-0.017792712011611252,differenced
oxygen_flow,runner_temp_cr_taphole,thermal,4,-0.03559586239963041,-0.016272169837364486,-0.03559586239963041,-0.000701905587447103,differenced
oxygen_flow,runner_temp_pci_taphole,thermal,13,0.051992075991390024,-0.034895807415018625,0.013921932085258833,0.042350719702716436,differenced
oxygen_flow,body_dp_total,aero,0,0.5346022480938996,0.5346022480938996,-0.04232724557431035,0.03555875098803731,differenced
oxygen_flow,body_perm,aero,0,0.18450247705638695,0.18450247705638695,-0.016944323856388416,0.03787502971829657,differenced
oxygen_flow,top_press_avg,aero,0,0.6012070909487895,0.6012070909487895,-0.038242661126517634,0.04685087475471942,differenced
steam_injection,body_etaco,gas,0,0.0,0.0,0.0,0.0,differenced
steam_injection,co_pct,gas,0,0.0,0.0,0.0,0.0,differenced
steam_injection,co2_pct,gas,0,0.0,0.0,0.0,0.0,differenced
steam_injection,h2_pct,gas,0,0.0,0.0,0.0,0.0,differenced
steam_injection,top_temp_avg,gas,0,0.0,0.0,0.0,0.0,differenced
steam_injection,body_raft,thermal,0,0.0,0.0,0.0,0.0,differenced
steam_injection,runner_temp_cr_taphole,thermal,0,0.0,0.0,0.0,0.0,differenced
steam_injection,runner_temp_pci_taphole,thermal,0,0.0,0.0,0.0,0.0,differenced
steam_injection,body_dp_total,aero,0,0.0,0.0,0.0,0.0,differenced
steam_injection,body_perm,aero,0,0.0,0.0,0.0,0.0,differenced
steam_injection,top_press_avg,aero,0,0.0,0.0,0.0,0.0,differenced
coal_rate_actual_value,body_etaco,gas,0,-0.11856335454346888,-0.11856335454346888,0.011968279655659768,0.004662221104091836,differenced
coal_rate_actual_value,co_pct,gas,0,0.15304525709206862,0.15304525709206862,0.015091079752393216,-0.01848512598813426,differenced
coal_rate_actual_value,co2_pct,gas,0,-0.12522166554319977,-0.12522166554319977,0.003253025032850401,0.014795946680414307,differenced
coal_rate_actual_value,h2_pct,gas,0,0.38601029914780194,0.38601029914780194,-0.02272266795770707,-0.02947323538131553,differenced
coal_rate_actual_value,top_temp_avg,gas,0,-0.10671666511619371,-0.10671666511619371,-0.01719591651170278,-0.03848377632698132,differenced
coal_rate_actual_value,body_raft,thermal,0,-0.36630741149976825,-0.36630741149976825,0.02811721078012089,0.014500616413389084,differenced
coal_rate_actual_value,runner_temp_cr_taphole,thermal,5,-0.0432534031961589,-0.002238864605024593,0.016737232969821676,-0.026303350478276026,differenced
coal_rate_actual_value,runner_temp_pci_taphole,thermal,0,-0.05252551353236696,-0.05252551353236696,-0.028569687720458085,0.008717233203873468,differenced
coal_rate_actual_value,body_dp_total,aero,0,0.15706143366331599,0.15706143366331599,-0.013478911020779019,0.010762392927760765,differenced
coal_rate_actual_value,body_perm,aero,0,0.15510947959593868,0.15510947959593868,0.009035561389232352,0.028507057394116252,differenced
coal_rate_actual_value,top_press_avg,aero,0,0.17474717820868238,0.17474717820868238,-4.774246877541035e-05,0.024487019850290996,differenced
charges_per_hour,body_etaco,gas,0,0.16233002316605402,0.16233002316605402,0.01995274399001775,-0.01180586938239419,differenced
charges_per_hour,co_pct,gas,0,-0.09360490322924456,-0.09360490322924456,-0.03971679805034951,0.0114224734858591,differenced
charges_per_hour,co2_pct,gas,0,0.25489141134199883,0.25489141134199883,0.013203563021973449,-0.030148440847242462,differenced
charges_per_hour,h2_pct,gas,1,0.067479834903361,-0.03449534715324895,-0.006962789427915677,0.019338785173179787,differenced
charges_per_hour,top_temp_avg,gas,16,-0.06003480229559119,0.048672971103800616,0.02443135389096741,0.005321728942080057,differenced
charges_per_hour,body_raft,thermal,0,-0.05313507579216908,-0.05313507579216908,-0.01756897829124604,-0.002665869651446502,differenced
charges_per_hour,runner_temp_cr_taphole,thermal,19,-0.029732949644522323,-0.00844328319879819,-0.015064361663375762,0.00835942435576377,differenced
charges_per_hour,runner_temp_pci_taphole,thermal,0,0.07060970787998436,0.07060970787998436,0.018239865144159182,-0.013939330026339902,differenced
charges_per_hour,body_dp_total,aero,0,0.1255174550907042,0.1255174550907042,-0.010686643275138049,0.016259393977338946,differenced
charges_per_hour,body_perm,aero,0,-0.07218368908271433,-0.07218368908271433,-0.05262413028368098,0.00383650131468271,differenced
charges_per_hour,top_press_avg,aero,0,0.1315936425343959,0.1315936425343959,-0.046936525436736695,0.0121019626509042,differenced
PLACEBO_input,body_etaco,gas,15,0.06783575777016844,-0.014919947595831106,0.0010441122078195934,0.01254739764197236,differenced
PLACEBO_input,co_pct,gas,3,0.03517650809601152,-0.015507404614831766,7.101300884308004e-05,0.012959022816173732,differenced
PLACEBO_input,co2_pct,gas,15,0.05174008366467391,-0.015834072821042707,0.006102744879438196,-0.013807533951117768,differenced
PLACEBO_input,h2_pct,gas,14,0.052568384633575056,-0.021694374572212127,0.004253275090883983,0.031155434429660844,differenced
PLACEBO_input,top_temp_avg,gas,19,-0.036677216053843095,0.00224869940252651,-0.02619692857158326,0.020266052555111165,differenced
PLACEBO_input,body_raft,thermal,8,0.04589900818378906,0.010731856593163155,0.010733597281818632,-0.035585125717199656,differenced
PLACEBO_input,runner_temp_cr_taphole,thermal,18,0.03793530822597516,-0.00017146406745378588,0.011802177926830928,0.024895867243697942,differenced
PLACEBO_input,runner_temp_pci_taphole,thermal,7,0.02295455956813856,0.011439084851922564,0.011424989651274612,0.02295455956813856,differenced
PLACEBO_input,body_dp_total,aero,2,0.035430548218268666,-0.017875920034693606,-0.01825386507751058,0.014401183812189357,differenced
PLACEBO_input,body_perm,aero,19,0.034008589132258786,0.003302133804900418,0.015219195940511996,-0.009529937156756296,differenced
PLACEBO_input,top_press_avg,aero,19,0.03395586101788484,-0.010894864487314965,-0.02392762420805191,-0.008931583119841751,differenced
